,Country,Oldest_avg(C),Newest_avg(C),Temperature_change(C),Lifetime_Emissions(tons/capita)
68,Hungary,10.240916666666665,10.290095679012346,0.04917901234568056,361.07235615769565
69,Iceland,2.5713333333333335,1.8528148148148147,-0.7185185185185188,429.7937708563275
70,India,24.287166666666668,24.37209413580247,0.08492746913580262,44.5494019676571
71,Indonesia,26.02916666666667,26.124563271604938,0.09539660493826929,57.44842532200054
72,Iraq,22.727500000000003,22.461083333333335,-0.2664166666666681,193.84028684155
73,Ireland,9.673416666666666,9.842577160493828,0.16916049382716203,476.1991280793626
74,Israel,20.72316666666667,20.20761651234568,-0.5155501543209908,403.9569048104217
75,Italy,13.072833333333335,13.274671296296297,0.20183796296296208,368.70014641333063
76,Jamaica,26.463916666666666,26.576265432098765,0.11234876543209893,175.90336131831276
77,Japan,12.599833333333335,12.477808641975308,-0.12202469135802652,466.7742908450048
